,imdb_movie_Id,Rating
789,43274,7.4
790,82406,7.3
791,116361,6.8
792,59742,8
793,95016,8.2
794,104692,5.4
795,117582,5.7
796,117589,8
797,117887,6.9
798,117924,5.8
799,115640,7.6
800,116908,6.8
801,116409,6.8
802,116913,7.3
803,117958,7.1
804,117202,6.2
805,116404,6.8
806,120107,4.9
807,116722,6.9
808,116242,6.7
809,117509,6.7
810,117802,7.2
811,117665,7.6
812,115491,6.4
813,29546,7.5
814,39286,7.3
815,67992,7.8
816,55018,7.8
817,70707,7.2
818,66808,7
819,95159,7.5
820,79470,8.1
821,84865,7.6
822,68334,7
823,59243,7.2
824,61418,7.8
825,52027,7
826,46912,8.2
827,92890,7
828,105236,8.3
829,91763,8.1
830,98627,6.4
831,103772,7
832,101761,7.2
833,104036,7.3
834,104348,7.7
835,84707,7.6
836,83866,7.8
837,29992,7.5
838,99371,6.1
839,92099,6.9
840,48545,7.7
841,44081,8
842,115885,4.2
843,102336,7.8
844,117040,7.9
845,117284,6.5
846,116378,6.6
847,113057,6.9
848,116581,7.5
849,112907,6.4
850,117318,7.3
851,116422,5.6
852,117320,7.2
853,82846,7.6
854,72081,7.1
855,101775,5.9
856,96754,7.5
857,80749,6.8
858,82340,7.2
859,82533,6.6
860,91288,8
861,91480,8
862,81375,6.2
863,71853,8.2
864,116587,5.9
865,116212,6.2
866,116886,7.1
867,118147,8
868,108598,8.3
869,84589,7.4
870,109781,7.4
871,34493,7.7
872,78875,7.5
873,69198,7.4
874,110521,7.2
875,116059,5.5
876,112483,4.8
877,103850,7
878,95765,8.5
879,97108,7.6
880,101700,7.6
881,101765,7.8
882,101811,7.4
883,50825,8.4
884,99703,6.9
885,102014,7
886,116209,7.4
887,102426,7.5
888,97937,7.9
889,98724,7.2
890,105107,7.4
891,105488,7.2
892,96257,8
893,101026,7
894,102370,6.4
895,100332,8.2
896,73486,8.7
897,78446,6.9
898,80684,8.7
899,93779,8.1
900,82971,8.4
901,88846,7.9
902,90605,8.3
903,60196,8.8
904,94336,7.6
905,50083,9
906,56172,8.3
907,66921,8.3
908,56592,8.3
909,78788,8.4
910,64116,8.5
911,86190,8.3
912,93191,8
913,41959,8.1
914,99685,8.7
915,78748,8.4
916,106308,7.5
917,95250,7.6
918,89881,8.2
919,97202,7.8
920,54215,8.5
921,80455,7.9
922,71562,9
923,93058,8.3
924,104361,7.8
925,97499,7.5
926,86879,8.3
927,45061,7.8
928,87843,8.3
929,81398,8.2
930,75686,8
931,86197,7.8
932,79944,8.1
933,82096,8.3
934,70735,8.3
935,67185,7.9
936,103130,7.4
937,50976,8.2
938,85859,7.4
939,88247,8
940,103873,7.5
941,97441,7.8
942,100519,7.4
943,79522,7.9
944,100150,7.7
945,97165,8.1
946,61722,8
947,52311,8
948,100263,7.3
949,50212,8.1
950,56801,8
951,71315,8.2
952,43456,7.7
953,40897,8.2
954,92610,6.5
955,23969,7.8
956,88794,7.1
957,81505,8.4
958,92005,8.1
959,22100,8.3
960,92991,7.7
961,57115,8.2
962,77416,8.1
963,82269,7.2
964,107048,8
965,105695,8.2
966,56218,7.9
967,100436,7.2
968,36613,8
969,88763,8.5
970,101921,7.7
971,66206,7.9
972,90967,7.7
973,94625,8
974,91203,7.1
975,61512,8.1
976,99334,7.5
977,72431,8
978,102536,7.7
979,101640,8.1
980,32553,8.4
981,32455,7.7
982,44706,8
983,38355,7.9
984,97493,7.2
985,81534,7.2
986,52618,8.1
987,88258,7.9
988,85809,8.3
989,94006,7.1
990,97576,8.2
991,78841,8
992,83987,8
993,96332,7.3
994,91867,7.3
995,89886,7
996,84503,8
997,87553,7.8
998,89606,7.6
999,49223,7.6
1000,97351,7.5
1001,73341,7.8
1002,64115,8
1003,87884,8.1
1004,101458,6.8
1005,98635,7.6
1006,116589,7.6
1007,116293,5.4
1008,112537,5.2
1009,103644,6.5
1010,82010,7.5
1011,103678,4.6
1012,85159,4.2
1013,115535,4.2
1014,106262,3.8
1015,83550,5.5
1016,78767,6.2
1017,99030,2.9
1018,71233,6.2
1019,90655,6.2
1020,75704,5.8
1021,92632,6.1
1022,56869,7.7
1023,51418,6.4
1024,82083,4.5
1025,101492,5.6
1026,37549,7.3
1027,103874,7.4
1028,26138,7.8
1029,74258,6.5
1030,103919,6.7
1031,101540,7.3
1032,55824,7.7
1033,74285,7.4
1034,83722,6.2
1035,87800,7.5
1036,13442,7.9
1037,91651,5.2
1038,75005,7.5
1039,115710,6
1040,115495,6.1
1041,117057,6.6
1042,115751,7.8
1043,119791,6.2
1044,117731,7.6
1045,117631,7.7
1046,117666,8
1047,116705,5.6
1048,117293,8.3
1049,117372,5.6
1050,117477,7.4
1051,115988,6.8
1052,115433,5.7
1053,99423,7.1
1054,79945,6.4
1055,102975,7.2
1056,98382,5.5
1057,84726,7.7
1058,88170,6.7
1059,92007,7.3
1060,103776,7
1061,96487,6.9
1062,100994,6.5
1063,77631,7.2
1064,84021,4.4
1065,100114,6
1066,105690,6.5
1067,73195,8
1068,77766,5.8
1069,85750,3.7
1070,117119,6.5
1071,116996,6.4
1072,115906,7
1073,116695,7.3
1074,93822,7.3
1075,94155,6.6
1076,105435,7.1
1077,115633,7.4
1078,116621,6
1079,116999,6.7
1080,116410,6.7
1081,115641,6.8
1082,112769,7.5
1083,117571,7.3
1084,104691,7.7
1085,117038,5.7
1086,116477,7.7
1087,117690,7.2
1088,118163,7.1
1089,117091,6.9
1090,118100,6.8
1091,116250,6.3
1092,117364,6.2
