imdb_movie_Id,Rating,Director,Actor_list
113198,6.9,Kevin Lima,Bill Farmer
113303,5.3,Brett Leonard,Jeff Goldblum
113089,6.7,Carlo Carlei,Matthew Modine
109771,6.8,Gérard Corbiau,Stefano Dionisi
113199,3.8,Mark Lewis,Kristy Young
110057,8.3,Steve James,William Gates
110005,7.3,Peter Jackson,Melanie Lynskey
110066,6,Randall Miller,Sinbad
110116,7.4,Bernard Rose,Gary Oldman
110006,6.7,Steven Brill,Tom McGowan
113360,6,J.F. Lawton,Christopher Lambert
110099,6.2,Fred Schepisi,Tim Robbins
110148,7.5,Neil Jordan,Brad Pitt
113463,5.7,James Ivory,Nick Nolte
110189,4.7,James Melkonian,John G. Brennan
110216,4.7,Ivan Reitman,Arnold Schwarzenegger
113501,6.4,Arne Glimcher,Sean Connery
113538,4.7,Michael Gottlieb,Thomas Ian Nicholas
113552,5.9,Barbet Schroeder,David Caruso
76759,8.6,George Lucas,Mark Hamill
110367,7.3,Gillian Armstrong,Susan Sarandon
113670,7.7,Alfonso Cuarón,Liesel Matthews
110296,7.4,Ken Loach,Crissy Rock
103994,7.1,Alfonso Arau,Marco Leonardi
110322,7.5,Edward Zwick,Brad Pitt
110443,6.3,Nick Castle,Damon Wayans
107566,6.5,Allison Anders,Angel Aviles
110391,6,Glenn Gordon Caron,Warren Beatty
113691,6.5,Stephen Gyllenhaal,Jessica Lange
110428,7.2,Nicholas Hytner,Nigel Hawthorne
109836,6.4,Kenneth Branagh,Robert De Niro
113755,5.2,James Orr,Chevy Chase
110538,5.4,Nora Ephron,Steve Martin
110516,5.6,Richard Benjamin,Melanie Griffith
110527,6.6,Les Mayfield,Richard Attenborough
113808,5.4,David Frankel,Sarah Jessica Parker
113896,7.3,Gregory Nava,Jimmy Smits
113870,7.3,Marc Rocco,Christian Slater
110684,7.4,Robert Benton,Paul Newman
110638,6.5,Michael Apted,Jodie Foster
113967,6.7,Nick Gomez,Shar-Ron Corley
117169,4.2,Tôru Murakawa,Tôru Nakamura
106402,3.3,Vadim Jean,Craig Fairbrass
110671,5.5,Alan Jacobs,Laura San Giacomo
110632,7.3,Oliver Stone,Woody Harrelson
110737,6.5,Norman Jewison,Marisa Tomei
110729,7.9,Lee Tamahori,Rena Owen
114151,4.5,Anne Goursaud,Alyssa Milano
114069,6.6,Wolfgang Petersen,Dustin Hoffman
110413,8.5,Luc Besson,Jean Reno
114113,6,Mira Nair,Marisa Tomei
114210,5.4,Joshua Brand,William Baldwin
110912,8.9,Quentin Tarantino,John Travolta
105652,7.2,Ang Lee,Sihung Lung
110889,7.1,Antonia Bird,Linus Roache
110932,7.5,Robert Redford,Ralph Fiennes
114129,6.6,Kayo Hatta,Yûki Kudô
110963,7.4,Patrice Chéreau,Isabelle Adjani
114214,6.5,Sam Raimi,Sharon Stone
114296,6.4,Peter Yates,Peter Falk
110907,5.2,Robert Altman,Sophia Loren
111495,8.1,Krzysztof Kieslowski,Irène Jacob
108394,7.9,Krzysztof Kieslowski,Juliette Binoche
111507,7.6,Krzysztof Kieslowski,Zbigniew Zamachowski
114268,5.5,Fred Gerber,Leslie Nielsen
110965,5.7,George Mihalka,Darlanne Fluegel
114571,5.3,Harold Ramis,Al Franken
111333,6.5,Richard Rich,Jack Palance
111112,7.5,John Sayles,Jeni Courtney
111255,5.6,Luis Llosa,Sylvester Stallone
111282,7.1,Roland Emmerich,Kurt Russell
111070,6.5,John Pasquin,Tim Allen
111161,9.3,Frank Darabont,Tim Robbins
111149,7.3,Danny Boyle,Kerry Fox
108260,6.6,Scott McGeheeDavid Siegel,Dennis Haysbert
106966,7.4,Tomás Gutiérrez AleaJuan Carlos Tabío,Jorge Perugorría
114594,7.1,George Huang,Kevin Spacey
111309,7.3,Geoff BurtonKevin Dowling,Jack Thompson
113936,5.7,Kelly Makin,Matt Frewer
110081,8.3,Yimou Zhang,You Ge
114614,5.4,Rachel Talalay,Lori Petty
114608,6.7,Ernest R. Dickerson,Billy Zane
111280,6.6,David Carson,Patrick Stewart
114609,6.4,Rusty Cundieff,Clarence Williams III
111454,6.3,Brian Gilbert,Willem Dafoe
114852,5.6,John Carpenter,Christopher Reeve
114694,7.1,Peter Segal,Chris Farley
111590,7.4,Louis Malle,Wallace Shawn
114788,6.1,Steven Soderbergh,Peter Gallagher
114888,4.9,Preston A. Whitmore II,Allen Payne
108550,7.7,Lasse Hallström,Johnny Depp
114857,5.6,Brett Leonard,Denzel Washington
114924,6.7,Jon Turteltaub,Sandra Bullock
111667,6.8,Jon Avnet,Elijah Wood
109655,7,Mina Shum,Sandra Oh
110598,7.2,P.J. Hogan,Toni Collette
112435,5.8,Melanie Mayron,Schuyler Fisk
109040,6.9,Tom Shadyac,Jim Carrey
109045,7.5,Stephan Elliott,Hugo Weaving
106339,6.7,Iain Softley,Stephen Dorff
104779,7.2,Roman Polanski,Hugh Grant
109348,7.4,Woody Allen,John Cusack
109444,6.9,Phillip Noyce,Harrison Ford
109446,6.8,Joel Schumacher,Susan Sarandon
109484,6.6,Jessie Nelson,Ray Liotta
109504,7,Spike Lee,Alfre Woodard
109506,7.6,Alex Proyas,Brandon Lee
109450,6.4,Ron Shelton,Tommy Lee Jones
109813,4.9,Brian Levant,John Goodman
109830,8.8,Robert Zemeckis,Tom Hanks
109831,7.1,Mike Newell,Hugh Grant
113305,6.5,John Singleton,Omar Epps
110091,6.8,Darnell Martin,Luna Lauren Velez
110093,5.3,Charles Shyer,Nick Nolte
110167,6.4,Andrew Bergman,Nicolas Cage
110213,6,Stephen Sommers,Jason Scott Lee
107472,8.5,Ray Müller,Leni Riefenstahl
110357,8.5,Roger AllersRob Minkoff,Matthew Broderick
107426,6.1,Bernardo Bertolucci,Keanu Reeves
111686,6.5,Wes Craven,Heather Langenkamp
110475,6.9,Chuck Russell,Jim Carrey
110478,7,Richard Donner,Mel Gibson
110588,6.4,Alan Rudolph,Jennifer Jason Leigh
110622,6.5,Peter Segal,Leslie Nielsen
110771,6.7,Ron Howard,Michael Keaton
110950,6.6,Ben Stiller,Winona Ryder
105226,7,John Dahl,Nicolas Cage
110989,5.4,Donald Petrie,Macaulay Culkin
110997,6.4,Curtis Hanson,Meryl Streep
111257,7.2,Jan de Bont,Keanu Reeves
111256,5.8,Ron Underwood,Michael Keaton
111438,5.9,Peter Hyams,Jean-Claude Van Damme
111503,7.2,James Cameron,Arnold Schwarzenegger
111693,6.6,Luis Mandoki,Meg Ryan
111742,6.2,Mike Nichols,Jack Nicholson
111756,6.7,Lawrence Kasdan,Kevin Costner
112443,5.4,Damian Harris,Ellen Barkin
110455,6.7,Suri Krishnamma,Albert Finney
