기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	광진구	구의2동	27,974	13,580	14,394	3,866	1,687	2,179	3,861	1,683	2,178	5	4	1
2018	광진구	구의3동	30,476	14,519	15,957	3,551	1,581	1,970	3,547	1,579	1,968	4	2	2
2018	광진구	광장동	36,309	17,603	18,706	3,353	1,484	1,869	3,347	1,481	1,866	6	3	3
2018	광진구	자양1동	24,476	11,801	12,675	3,074	1,326	1,748	3,053	1,317	1,736	21	9	12
2018	광진구	자양2동	27,435	13,472	13,963	3,469	1,586	1,883	3,466	1,585	1,881	3	1	2
2018	광진구	자양3동	30,132	14,509	15,623	3,564	1,600	1,964	3,558	1,598	1,960	6	2	4
2018	광진구	자양4동	24,054	11,920	12,134	3,430	1,524	1,906	3,363	1,490	1,873	67	34	33
2018	동대문구	소계	364,338	179,774	184,564	57,165	25,347	31,818	56,991	25,271	31,720	174	76	98
2018	동대문구	회기동	12,868	5,819	7,049	1,446	588	858	1,436	582	854	10	6	4
2018	동대문구	휘경1동	14,653	7,088	7,565	2,221	981	1,240	2,214	979	1,235	7	2	5
2018	동대문구	휘경2동	25,147	12,315	12,832	3,520	1,550	1,970	3,516	1,548	1,968	4	2	2
2018	동대문구	청량리동	22,527	11,276	11,251	5,040	2,217	2,823	5,018	2,209	2,809	22	8	14
2018	동대문구	용신동	31,961	16,348	15,613	5,329	2,465	2,864	5,298	2,452	2,846	31	13	18
2018	동대문구	제기동	27,576	13,803	13,773	5,268	2,336	2,932	5,252	2,328	2,924	16	8	8
2018	동대문구	전농1동	30,988	15,595	15,393	5,168	2,271	2,897	5,146	2,259	2,887	22	12	10
2018	동대문구	전농2동	20,351	9,742	10,609	3,345	1,479	1,866	3,341	1,478	1,863	4	1	3
2018	동대문구	답십리1동	29,492	14,424	15,068	3,664	1,592	2,072	3,660	1,591	2,069	4	1	3
2018	동대문구	답십리2동	28,970	14,193	14,777	4,900	2,146	2,754	4,889	2,142	2,747	11	4	7
2018	동대문구	장안1동	39,212	19,625	19,587	5,566	2,625	2,941	5,548	2,620	2,928	18	5	13
2018	동대문구	장안2동	31,649	15,865	15,784	4,281	1,930	2,351	4,275	1,928	2,347	6	2	4
2018	동대문구	이문1동	26,940	12,950	13,990	3,893	1,638	2,255	3,881	1,632	2,249	12	6	6
2018	동대문구	이문2동	22,004	10,731	11,273	3,524	1,529	1,995	3,517	1,523	1,994	7	6	1
2018	중랑구	소계	408,147	202,448	205,699	61,830	27,516	34,314	61,748	27,474	34,274	82	42	40
2018	중랑구	면목2동	26,482	13,226	13,256	3,962	1,756	2,206	3,956	1,751	2,205	6	5	1
2018	중랑구	면목4동	20,730	10,280	10,450	3,398	1,454	1,944	3,391	1,448	1,943	7	6	1
2018	중랑구	면목5동	10,071	5,148	4,923	1,569	721	848	1,568	720	848	1	1	-
2018	중랑구	면목7동	22,258	11,050	11,208	3,704	1,633	2,071	3,700	1,631	2,069	4	2	2
2018	중랑구	상봉1동	25,619	12,509	13,110	3,293	1,412	1,881	3,290	1,410	1,880	3	2	1
2018	중랑구	상봉2동	19,243	9,449	9,794	2,641	1,228	1,413	2,639	1,227	1,412	2	1	1
2018	중랑구	중화1동	21,030	10,377	10,653	3,037	1,365	1,672	3,034	1,364	1,670	3	1	2
2018	중랑구	중화2동	28,660	14,731	13,929	4,715	2,140	2,575	4,691	2,132	2,559	24	8	16
2018	중랑구	묵1동	36,233	17,708	18,525	5,125	2,317	2,808	5,124	2,316	2,808	1	1	-
2018	중랑구	묵2동	20,355	10,016	10,339	3,050	1,375	1,675	3,043	1,373	1,670	7	2	5
2018	중랑구	망우3동	18,334	9,176	9,158	2,954	1,330	1,624	2,952	1,329	1,623	2	1	1
2018	중랑구	신내1동	41,264	20,226	21,038	5,839	2,570	3,269	5,835	2,567	3,268	4	3	1
2018	중랑구	신내2동	22,379	10,740	11,639	3,438	1,440	1,998	3,438	1,440	1,998	-	-	-
2018	중랑구	면목본동	36,558	18,145	18,413	5,438	2,400	3,038	5,434	2,400	3,034	4	-	4
2018	중랑구	면목3.8동	27,139	13,606	13,533	4,451	2,018	2,433	4,444	2,012	2,432	7	6	1
2018	중랑구	망우본동	31,792	16,061	15,731	5,216	2,357	2,859	5,209	2,354	2,855	7	3	4
2018	성북구	소계	447,687	216,495	231,192	67,782	29,163	38,619	67,646	29,097	38,549	136	66	70
2018	성북구	돈암1동	16,404	7,671	8,733	2,602	1,107	1,495	2,602	1,107	1,495	-	-	-
2018	성북구	돈암2동	25,273	12,059	13,214	3,139	1,327	1,812	3,134	1,326	1,808	5	1	4
2018	성북구	안암동	17,260	8,471	8,789	2,055	860	1,195	2,048	857	1,191	7	3	4
2018	성북구	보문동	17,067	8,258	8,809	2,321	983	1,338	2,313	980	1,333	8	3	5
2018	성북구	정릉1동	18,642	8,868	9,774	2,819	1,208	1,611	2,815	1,207	1,608	4	1	3
2018	성북구	정릉2동	24,267	11,850	12,417	4,034	1,760	2,274	4,027	1,756	2,271	7	4	3
2018	성북구	정릉3동	17,294	8,639	8,655	3,079	1,290	1,789	3,078	1,290	1,788	1	-	1
2018	성북구	정릉4동	27,161	13,168	13,993	4,430	1,959	2,471	4,426	1,957	2,469	4	2	2
2018	성북구	길음1동	37,829	18,072	19,757	4,203	1,730	2,473	4,197	1,728	2,469	6	2	4
2018	성북구	길음2동	11,767	5,720	6,047	1,908	830	1,078	1,907	829	1,078	1	1	-
2018	성북구	월곡1동	27,854	13,511	14,343	4,276	1,861	2,415	4,274	1,860	2,414	2	1	1
2018	성북구	월곡2동	20,702	10,107	10,595	3,274	1,459	1,815	3,269	1,457	1,812	5	2	3
2018	성북구	장위1동	21,228	10,457	10,771	3,456	1,489	1,967	3,451	1,488	1,963	5	1	4
2018	성북구	장위2동	15,069	7,525	7,544	3,086	1,361	1,725	3,078	1,359	1,719	8	2	6
2018	성북구	장위3동	11,689	5,862	5,827	1,890	880	1,010	1,890	880	1,010	-	-	-
2018	성북구	성북동	17,902	8,478	9,424	2,942	1,251	1,691	2,924	1,241	1,683	18	10	8
2018	성북구	삼선동	26,971	12,962	14,009	4,009	1,679	2,330	3,997	1,673	2,324	12	6	6
2018	성북구	동선동	16,386	6,926	9,460	2,169	905	1,264	2,149	891	1,258	20	14	6
2018	성북구	종암동	42,876	20,976	21,900	6,116	2,546	3,570	6,109	2,541	3,568	7	5	2
2018	성북구	석관동	34,046	16,915	17,131	5,974	2,678	3,296	5,958	2,670	3,288	16	8	8
2018	강북구	소계	322,915	157,522	165,393	58,196	25,034	33,162	58,103	24,986	33,117	93	48	45
2018	강북구	번1동	19,964	9,927	10,037	3,345	1,493	1,852	3,336	1,487	1,849	9	6	3
2018	강북구	번2동	17,504	8,463	9,041	3,662	1,457	2,205	3,657	1,456	2,201	5	1	4
2018	강북구	번3동	18,967	8,979	9,988	4,378	1,715	2,663	4,377	1,714	2,663	1	1	-
2018	강북구	수유1동	22,338	11,032	11,306	4,049	1,807	2,242	4,044	1,804	2,240	5	3	2
