"기간","자치구","인구밀도"
2007,"도봉구",18288
2007,"노원구",17538
2007,"은평구",15600
2007,"서대문구",20282
2007,"마포구",16774
2007,"양천구",29228
2007,"강서구",13677
2007,"구로구",22133
2007,"금천구",20317
2007,"영등포구",17873
2007,"동작구",25372
2007,"관악구",18626
2007,"서초구",8765
2007,"강남구",14395
2007,"송파구",18615
2007,"강동구",19081
2008,"종로구",7519
2008,"중구",13936
2008,"용산구",11480
2008,"성동구",19151
2008,"광진구",22698
2008,"동대문구",26876
2008,"중랑구",23399
2008,"성북구",19597
2008,"강북구",14644
2008,"도봉구",18196
2008,"노원구",17524
2008,"은평구",15607
2008,"서대문구",19356
2008,"마포구",16472
2008,"양천구",29183
2008,"강서구",14086
2008,"구로구",22282
2008,"금천구",20396
2008,"영등포구",18056
2008,"동작구",25136
2008,"관악구",18664
2008,"서초구",8767
2008,"강남구",14307
2008,"송파구",19971
2008,"강동구",19285
2009,"종로구",7426
2009,"중구",13841
2009,"용산구",11487
2009,"성동구",18759
2009,"광진구",22653
2009,"동대문구",26356
2009,"중랑구",23232
2009,"성북구",19721
2009,"강북구",14566
2009,"도봉구",17988
2009,"노원구",17360
2009,"은평구",15855
2009,"서대문구",19126
2009,"마포구",16434
2009,"양천구",29104
2009,"강서구",13983
2009,"구로구",22347
2009,"금천구",20240
2009,"영등포구",17983
2009,"동작구",24954
2009,"관악구",18510
2009,"서초구",9172
2009,"강남구",14405
2009,"송파구",20347
2009,"강동구",19920
2010,"종로구",7502
2010,"중구",14177
2010,"용산구",11759
2010,"성동구",18808
2010,"광진구",22786
2010,"동대문구",26713
2010,"중랑구",23373
2010,"성북구",20260
2010,"강북구",14824
2010,"도봉구",17908
2010,"노원구",17367
2010,"은평구",16601
2010,"서대문구",18968
2010,"마포구",16776
2010,"양천구",29020
2010,"강서구",14015
2010,"구로구",22499
2010,"금천구",20350
2010,"영등포구",18141
2010,"동작구",25312
2010,"관악구",18592
2010,"서초구",9361
2010,"강남구",14596
2010,"송파구",20460
2010,"강동구",20217
2011,"종로구",7421
2011,"중구",14212
2011,"용산구",11857
2011,"성동구",18325
2011,"광진구",22661
2011,"동대문구",26653
2011,"중랑구",23175
2011,"성북구",20125
2011,"강북구",14780
2011,"도봉구",17774
