Date,XLC,3_month,per3month
<<<<<<< HEAD
2019-12-01,52.869815826416016,43.707828521728516,-0.17329334633524068
2020-01-01,53.26150131225586,49.81512451171875,-0.06470671527511135
2020-02-01,50.14939498901367,53.520545959472656,0.0672221663132229
2020-03-01,43.707828521728516,53.54035949707031,0.22496040887626667
2020-04-01,49.81512451171875,57.708919525146484,0.15846181437468373
2020-05-01,53.520545959472656,62.8017578125,0.17341399805703314
2020-06-01,53.54035949707031,58.96971893310547,0.10140685432514226
2020-07-01,57.708919525146484,58.8954963684082,0.020561411529194745
2020-08-01,62.8017578125,65.06360626220703,0.036015686956724566
2020-09-01,58.96971893310547,67.13291931152344,0.13843037623561008
2020-10-01,58.8954963684082,66.64225006103516,0.13153388918176
2020-11-01,65.06360626220703,71.31558227539062,0.09609021651809559
2020-12-01,67.13291931152344,73.05935668945312,0.0882791548275841
2021-01-01,66.64225006103516,77.90995788574219,0.1690775418655186
2021-02-01,71.31558227539062,78.64862823486328,0.10282529743858128
2021-03-01,73.05935668945312,80.82471466064453,0.10628834310982123
2021-04-01,77.90995788574219,82.4000015258789,0.057631190697362875
2021-05-01,78.64862823486328,85.62000274658203,0.08863949274360626
>>>>>>> 4358c7690d4428e56fa4ecf2853fa07500ec219d
