기간	자치구	계	계	종합병원	종합병원	병원	병원	의원	의원	부속병의원	부속병의원	요양병원	요양병원	노인전문병원	노인전문병원	결핵병원	결핵병원	정신병원	정신병원	치과병원	치과병원	치과의원	치과의원	한방병원	한방병원	한방의원	한방의원	조산원	조산원
기간	자치구	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수	병원수	병상수
2019	금천구	356	2,161	1	242	6	627	158	268	-	-	4	640	-	-	-	-	-	-	-	-	106	-	3	334	78	50	-	-
2019	영등포구	756	5,601	7	2,092	8	869	336	335	8	-	12	2,166	-	-	-	-	-	-	1	-	234	-	2	101	148	38	-	-
2019	동작구	576	2,747	2	1,536	5	310	259	285	-	-	3	523	-	-	-	-	-	-	2	-	172	-	1	50	132	43	-	-
2019	관악구	693	2,353	1	287	10	786	318	476	3	-	3	666	-	-	-	-	-	-	1	-	203	-	2	30	152	108	-	-
2019	서초구	1,226	3,613	1	1,356	12	975	626	300	6	-	4	582	-	-	-	-	-	-	5	-	313	8	6	381	252	11	1	-
2019	강남구	2,643	8,700	4	3,125	33	2,071	1,636	1,461	5	1	9	1,194	-	-	-	-	-	-	15	1	565	56	11	752	365	39	-	-
2019	송파구	1,165	6,687	2	3,145	16	1,208	558	653	3	-	9	1,296	1	205	-	-	-	-	4	-	318	-	4	166	250	14	-	-
2019	강동구	789	5,890	3	2,259	15	934	352	599	3	-	6	1,595	-	-	-	-	-	-	3	9	217	-	5	365	185	129	-	-
2020	서울시	17,916	89,714	56	33,649	228	18,675	8,847	9,573	57	1	122	20,906	4	986	1	414	1	200	62	83	4,864	65	60	4,088	3,611	1,062	3	12
2020	종로구	494	3,317	4	2,955	2	227	197	92	7	-	-	-	-	-	-	-	-	-	1	40	157	-	-	-	126	3	-	-
2020	중구	572	1,365	2	701	4	442	240	172	14	-	-	-	-	-	-	-	-	-	6	-	209	-	1	50	96	-	-	-
2020	용산구	310	926	1	725	2	112	140	88	1	-	-	-	-	-	-	-	-	-	-	-	105	-	-	-	60	-	1	1
2020	성동구	456	1,803	1	855	5	301	219	135	-	-	3	512	-	-	-	-	-	-	1	-	129	-	-	-	98	-	-	-
2020	광진구	552	2,591	2	1,063	5	438	269	466	-	-	3	574	-	-	-	-	-	-	2	-	153	-	1	-	117	50	-	-
2020	동대문구	586	5,509	4	1,733	13	1,583	256	478	-	-	8	1,506	-	-	-	-	-	-	4	26	149	-	1	170	150	8	1	5
2020	중랑구	531	3,238	3	1,045	13	1,015	244	579	-	-	2	272	-	-	-	-	1	200	-	-	157	-	1	45	110	82	-	-
2020	성북구	540	3,484	1	1,048	6	517	256	380	1	-	6	1,305	1	223	-	-	-	-	1	-	147	-	-	-	121	11	-	-
2020	강북구	466	2,355	1	201	10	900	223	356	-	-	6	869	-	-	-	-	-	-	1	-	127	1	-	-	98	28	-	-
2020	도봉구	367	2,582	1	354	8	1,197	162	140	-	-	5	548	1	160	-	-	-	-	1	-	105	-	2	183	82	-	-	-
2020	노원구	734	3,582	3	1,563	6	364	357	428	-	-	7	1,075	-	-	-	-	-	-	3	-	199	-	3	137	156	15	-	-
2020	은평구	677	3,812	2	950	10	778	321	360	-	-	7	1,193	-	-	1	414	-	-	1	-	183	-	2	76	150	41	-	-
2020	서대문구	441	3,733	2	2,662	5	248	211	272	-	-	3	436	-	-	-	-	-	-	2	7	125	-	1	88	92	20	-	-
2020	마포구	742	925	-	-	3	191	375	124	1	-	3	379	-	-	-	-	-	-	3	-	204	-	2	179	151	52	-	-
2020	양천구	638	2,886	3	1,270	5	453	286	329	-	-	4	596	-	-	-	-	-	-	3	-	183	-	3	197	151	41	-	-
2020	강서구	861	4,729	4	1,311	17	1,354	410	541	2	-	5	941	-	-	-	-	-	-	3	-	225	-	6	448	189	134	-	-
2020	구로구	569	4,433	2	1,275	8	726	266	236	2	-	7	1,601	1	403	-	-	-	-	1	-	170	-	2	128	110	64	-	-
2020	금천구	354	2,220	1	242	6	628	160	271	-	-	4	671	-	-	-	-	-	-	-	-	106	-	3	348	74	60	-	-
2020	영등포구	779	5,837	7	2,110	8	905	354	342	8	-	13	2,339	-	-	-	-	-	-	1	-	238	-	2	103	148	38	-	-
2020	동작구	588	2,781	2	1,572	5	315	269	278	-	-	3	523	-	-	-	-	-	-	2	-	173	-	1	50	133	43	-	-
2020	관악구	698	2,459	1	291	11	820	324	442	3	-	3	655	-	-	-	-	-	-	1	-	200	-	2	86	153	165	-	-
2020	서초구	1,251	3,682	1	1,356	13	1,057	661	298	7	-	4	582	-	-	-	-	-	-	4	-	311	8	5	369	244	6	1	6
2020	강남구	2,693	8,637	3	3,013	32	2,040	1,697	1,388	5	1	9	1,267	-	-	-	-	-	-	14	1	558	56	12	815	363	56	-	-
2020	송파구	1,194	6,879	2	3,095	17	1,219	574	766	3	-	10	1,407	1	200	-	-	-	-	4	-	327	-	4	176	252	16	-	-
2020	강동구	823	5,949	3	2,259	14	845	376	612	3	-	7	1,655	-	-	-	-	-	-	3	9	224	-	6	440	187	129	-	-
