기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017	성북구	월곡2동	20,823	10,148	10,675	3,140	1,390	1,750	3,135	1,389	1,746	5	1	4
2017	성북구	장위1동	21,336	10,569	10,767	3,319	1,437	1,882	3,314	1,436	1,878	5	1	4
2017	성북구	장위2동	18,517	9,276	9,241	3,464	1,521	1,943	3,456	1,519	1,937	8	2	6
2017	성북구	장위3동	12,336	6,250	6,086	1,972	933	1,039	1,971	933	1,038	1	-	1
2017	성북구	성북동	17,996	8,530	9,466	2,913	1,238	1,675	2,897	1,230	1,667	16	8	8
2017	성북구	삼선동	27,082	13,130	13,952	3,922	1,629	2,293	3,914	1,624	2,290	8	5	3
2017	성북구	동선동	16,614	7,129	9,485	2,114	887	1,227	2,096	874	1,222	18	13	5
2017	성북구	종암동	42,926	21,086	21,840	5,904	2,472	3,432	5,898	2,468	3,430	6	4	2
2017	성북구	석관동	34,628	17,259	17,369	5,706	2,565	3,141	5,688	2,556	3,132	18	9	9
2017	강북구	소계	328,002	160,252	167,750	56,530	24,311	32,219	56,437	24,268	32,169	93	43	50
2017	강북구	번1동	19,912	9,848	10,064	3,251	1,440	1,811	3,242	1,435	1,807	9	5	4
2017	강북구	번2동	17,937	8,718	9,219	3,552	1,424	2,128	3,547	1,423	2,124	5	1	4
2017	강북구	번3동	19,314	9,196	10,118	4,271	1,688	2,583	4,269	1,688	2,581	2	-	2
2017	강북구	수유1동	22,471	11,101	11,370	3,900	1,713	2,187	3,896	1,711	2,185	4	2	2
2017	강북구	수유2동	22,512	10,913	11,599	4,115	1,739	2,376	4,111	1,737	2,374	4	2	2
2017	강북구	수유3동	24,223	12,082	12,141	4,011	1,808	2,203	4,006	1,806	2,200	5	2	3
2017	강북구	삼양동	29,079	14,458	14,621	4,826	2,115	2,711	4,823	2,112	2,711	3	3	-
2017	강북구	미아동	23,431	11,263	12,168	3,860	1,673	2,187	3,842	1,666	2,176	18	7	11
2017	강북구	송중동	30,293	14,606	15,687	5,204	2,260	2,944	5,192	2,254	2,938	12	6	6
2017	강북구	송천동	29,970	14,936	15,034	5,442	2,379	3,063	5,433	2,374	3,059	9	5	4
2017	강북구	삼각산동	33,834	16,325	17,509	3,807	1,544	2,263	3,803	1,542	2,261	4	2	2
2017	강북구	우이동	21,897	10,680	11,217	4,180	1,840	2,340	4,172	1,834	2,338	8	6	2
2017	강북구	인수동	33,129	16,126	17,003	6,111	2,688	3,423	6,101	2,686	3,415	10	2	8
2017	도봉구	소계	346,234	169,553	176,681	53,488	23,688	29,800	53,445	23,666	29,779	43	22	21
2017	도봉구	쌍문1동	22,326	10,858	11,468	3,756	1,658	2,098	3,753	1,657	2,096	3	1	2
2017	도봉구	쌍문2동	20,627	10,047	10,580	3,282	1,391	1,891	3,280	1,390	1,890	2	1	1
2017	도봉구	쌍문3동	17,482	8,489	8,993	3,014	1,351	1,663	3,011	1,349	1,662	3	2	1
